date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:22	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/CAPAGASs_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/CAPAGASs_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:24	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capacomunicado9pacto_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capacomunicado9pacto_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:28	84844/84844	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:13%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/modules/mod_vina_camera_slider_content/libs/timthumb.php?a=c&q=99&z=0&w=600&h=300&src=http://saogoncalodoamarante.ce.gov.br/portal/images/Gestao2021/dezembro/Prancheta_6.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/modules/mod_vina_camera_slider_content/libs/timthumbbd5e.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:29	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capacomunicado8pacto_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capacomunicado8pacto_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:30	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capafotosnatal_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capafotosnatal_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:32	29427/29427	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:28%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3557-lista-de-beneficiarios-primeira-etapa-do-programa-garantia-safra	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3557-lista-de-beneficiarios-primeira-etapa-do-programa-garantia-safra.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:35	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/Prancheta_6_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/Prancheta_6_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:35	198811/198811	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:03%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/modules/mod_vina_camera_slider_content/libs/timthumb.php?a=c&q=99&z=0&w=600&h=300&src=http://saogoncalodoamarante.ce.gov.br/portal/images/Gestao2021/dezembro/capafotosnatal.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/modules/mod_vina_camera_slider_content/libs/timthumb9176.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:35	27392/27392	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Jan%202022%2002:17:31%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3547-lista-de-beneficiarios-sem-saque-cmic	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/index.php/novasnoticias/3547-lista-de-beneficiarios-sem-saque-cmic.html	(from http://saogoncalodoamarante.ce.gov.br/portal/)
23:17:36	38601/38601	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jan%202022%2002:17:01%20GMT	http://saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capasafra_120x80.png	C:/Meus%20Sites/PMSGA/saogoncalodoamarante.ce.gov.br/portal/cache/mod_news_show_sp2/nssp2_thumbs/145/capasafra_120x80.png	(from http://saogoncalodoamarante.ce.gov.br/portal/)
